codice_univoco,data_ora_inizio_proiezione,data_ora_fine_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto,posti_prenotati
8159a5da-687f-4846-965b-58c053adc6c4,2027-12-16 15:00:00,2027-12-16 16:46:00,Cape Fear,DRAMMATICO,J. Lee Thompson,1962,106,12,8.0,0
bde8a9ec-dbfa-4525-848d-448fc646254e,2027-12-16 10:30:00,2027-12-16 13:57:00,Shichinin no samurai,AZIONE,Akira Kurosawa,1954,207,0,6.5,0
f6fe29e1-3c9d-45a3-ad45-c2d55b032aee,2027-12-15 16:00:00,2027-12-15 17:41:00,American Psycho,COMMEDIA,Mary Harron,2000,101,12,8.0,0
0c29ff13-8676-4635-9663-2767f228a86a,2027-12-15 13:30:00,2027-12-15 15:11:00,The Others,HORROR,Alejandro Amenábar,2001,101,12,8.0,0
70820aa5-5f38-4011-8759-83a68eb414bc,2027-12-15 10:30:00,2027-12-15 12:30:00,Blue Velvet,DRAMMATICO,David Lynch,1986,120,12,7.5,0
d5ebb32a-5566-4185-a885-7edf26afd11d,2027-12-14 10:30:00,2027-12-14 12:49:00,Fight Club,DRAMMATICO,David Fincher,1999,139,12,6.5,0
df284d85-632a-4b61-bdf2-79fc8e82c55a,2027-12-13 15:30:00,2027-12-13 17:11:00,American Psycho,COMMEDIA,Mary Harron,2000,101,12,6.5,0
9695ce30-b5f9-4688-8ac3-86a0c5774ea2,2027-12-13 12:30:00,2027-12-13 14:36:00,The Treasure of the Sierra Madre,AVVENTURA,John Huston,1948,126,12,8.0,0
c34b1b35-4583-4375-b6ca-e04436f53a90,2027-12-13 10:00:00,2027-12-13 11:34:00,Kurenai no buta,ANIMAZIONE,Hayao Miyazaki,1992,94,0,7.0,0
a039f95f-3391-4909-8ea4-798bb4cddd23,2027-12-12 18:00:00,2027-12-12 21:27:00,Shichinin no samurai,AZIONE,Akira Kurosawa,1954,207,0,8.5,0
68ed003d-7185-4b1f-9830-5e8dbf7071e0,2027-12-12 15:30:00,2027-12-12 17:10:00,To Have and Have Not,AVVENTURA,Howard Hawks,1944,100,6,8.0,0
db3d9ecd-fc0a-4331-b8c3-0a2257438d74,2027-12-12 13:00:00,2027-12-12 14:47:00,Withnail & I,COMMEDIA,Bruce Robinson,1987,107,16,6.5,0
2cf74e9a-ae3e-42cc-b491-3356a1025d13,2027-12-12 10:30:00,2027-12-12 12:10:00,The Maltese Falcon,NOIR,John Huston,1941,100,12,8.0,0
a4c4792b-862d-466e-aab4-61db376a0da0,2027-12-11 19:00:00,2027-12-11 21:19:00,Fight Club,DRAMMATICO,David Fincher,1999,139,12,10.0,0
ed93db82-2638-4cc8-a288-2e3f4c710aad,2027-12-11 16:30:00,2027-12-11 18:09:00,Reservoir Dogs,CRIMINE,Quentin Tarantino,1992,99,16,8.5,0
6cc72a8c-24ee-4ec4-b97a-442c056b8493,2027-12-11 12:30:00,2027-12-11 15:57:00,Shichinin no samurai,AZIONE,Akira Kurosawa,1954,207,0,8.5,0
579279b5-905d-4a17-826a-ed2f0070bdfc,2027-12-11 10:00:00,2027-12-11 11:40:00,Eastern Promises,AZIONE,David Cronenberg,2007,100,16,6.5,0
0d8019e0-5855-418b-ba6b-4f2a2a54486c,2027-12-10 13:00:00,2027-12-10 14:40:00,To Have and Have Not,AVVENTURA,Howard Hawks,1944,100,6,6.5,0
39de586e-9b08-4a92-b121-8f947868af22,2027-12-10 10:30:00,2027-12-10 12:16:00,Cape Fear,DRAMMATICO,J. Lee Thompson,1962,106,12,7.0,0
2f5b4e88-484e-46c9-aed7-ecb67847eb2b,2027-12-09 10:00:00,2027-12-09 11:53:00,Star Trek II: The Wrath of Khan,AZIONE,Nicholas Meyer,1982,113,0,8.0,0
9b9e3baf-4829-4b85-9f7f-67c1b12a5975,2027-12-08 10:00:00,2027-12-08 12:00:00,Blue Velvet,DRAMMATICO,David Lynch,1986,120,12,6.5,0
9b013f4e-6c0b-4495-9904-e0c11457474c,2027-12-07 15:00:00,2027-12-07 17:08:00,Lat sau san taam,AZIONE,John Woo,1992,128,16,7.0,0
ebabb3e4-5d46-4da5-9796-ea67003c3f85,2027-12-07 12:30:00,2027-12-07 14:10:00,Eastern Promises,AZIONE,David Cronenberg,2007,100,16,6.5,0
b9740dbd-4b3e-4013-9933-a358f09e198e,2027-12-07 10:00:00,2027-12-07 11:47:00,Withnail & I,COMMEDIA,Bruce Robinson,1987,107,16,6.5,0
4f83bbb1-eed7-499f-ac6e-289e7274f90f,2027-12-06 15:00:00,2027-12-06 16:41:00,American Psycho,COMMEDIA,Mary Harron,2000,101,12,8.0,0
c52b720e-1caf-41d1-bc76-ec3ef2c5dd5c,2027-12-06 12:30:00,2027-12-06 14:10:00,The Maltese Falcon,NOIR,John Huston,1941,100,12,8.5,0
512e2683-8e79-42a8-850d-8cea026e19e6,2027-12-06 10:00:00,2027-12-06 11:40:00,Eastern Promises,AZIONE,David Cronenberg,2007,100,16,7.0,0
a9965dc1-7efb-4d23-9920-a98570112504,2027-12-05 20:00:00,2027-12-05 21:41:00,American Psycho,COMMEDIA,Mary Harron,2000,101,12,8.5,0
0b903bea-6b41-49da-872a-c90e58231433,2027-12-05 17:30:00,2027-12-05 19:04:00,Jûbê ninpûchô,ANIMAZIONE,Yoshiaki Kawajiri,1993,94,12,8.5,0
b996946a-a576-49ad-a9fb-6d71637258a9,2027-12-05 13:00:00,2027-12-05 16:21:00,Giant,DRAMMATICO,George Stevens,1956,201,0,8.5,0
3f28caaa-68ab-4718-83e1-a06ccef8292b,2027-12-05 10:00:00,2027-12-05 12:08:00,Mississippi Burning,CRIMINE,Alan Parker,1988,128,12,8.0,0
c93ca748-951f-4b99-b9a7-9e29f9eb3bf3,2027-12-04 15:30:00,2027-12-04 18:20:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,6.5,0
89e72e32-638d-42c0-928f-67e34518a783,2027-12-04 12:30:00,2027-12-04 14:38:00,Lat sau san taam,AZIONE,John Woo,1992,128,16,8.0,0
2e6377cc-20ec-4e6e-a1e9-4877a09f54da,2027-12-04 10:00:00,2027-12-04 11:46:00,Cape Fear,DRAMMATICO,J. Lee Thompson,1962,106,12,8.0,0
2f168ad1-90de-4d2a-96df-b9424d3d1c04,2027-12-03 16:00:00,2027-12-03 18:50:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,8.5,0
0bb2299b-0f80-4d02-8221-88804baaa0b9,2027-12-03 13:30:00,2027-12-03 15:04:00,Jûbê ninpûchô,ANIMAZIONE,Yoshiaki Kawajiri,1993,94,12,7.5,0
31a05d20-ee74-442f-9bb1-e7ce2390bedb,2027-12-03 10:30:00,2027-12-03 12:37:00,Cool Hand Luke,CRIMINE,Stuart Rosenberg,1967,127,12,8.5,0
ff2ecf28-180b-4870-9ee9-f65e1a874b8d,2027-12-02 10:30:00,2027-12-02 13:51:00,Giant,DRAMMATICO,George Stevens,1956,201,0,7.5,0
30415341-51f6-448b-84a5-43593b8e324b,2027-12-01 14:00:00,2027-12-01 16:00:00,Blue Velvet,DRAMMATICO,David Lynch,1986,120,12,8.0,0
9dc8d525-11fe-4548-9c11-300ae77ce0ed,2027-12-01 10:00:00,2027-12-01 12:50:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,8.0,0
44800b80-b5b6-4490-b6c0-8299ecd5e9fe,2027-11-30 13:30:00,2027-11-30 15:04:00,Kurenai no buta,ANIMAZIONE,Hayao Miyazaki,1992,94,0,6.5,0
0e271729-02cb-454f-8d13-c38619236474,2027-11-30 10:30:00,2027-11-30 12:37:00,Cool Hand Luke,CRIMINE,Stuart Rosenberg,1967,127,12,7.5,0
605fbc76-a3dd-4004-b170-bae9a5f98cd5,2027-11-29 13:30:00,2027-11-29 15:11:00,The Others,HORROR,Alejandro Amenábar,2001,101,12,7.0,0
c1c8dbfc-da04-433c-ac21-36d2585c9d44,2027-11-29 10:00:00,2027-11-29 12:50:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,7.5,0
ea496e1d-2f3e-4aec-8119-e8262ca794d7,2027-11-28 16:00:00,2027-11-28 18:08:00,Mississippi Burning,CRIMINE,Alan Parker,1988,128,12,8.0,0
d445cdfb-c10e-41f8-8c66-b0c30eba1323,2027-11-28 13:00:00,2027-11-28 15:13:00,The Blues Brothers,AZIONE,John Landis,1980,133,0,8.0,0
ac761e58-25ce-44ef-97a4-6d32ead748a7,2027-11-28 10:30:00,2027-11-28 12:15:00,Festen,DRAMMATICO,Thomas Vinterberg,1998,105,16,8.0,0
02b73686-5d3b-44fb-bfcd-ee50fd2e896f,2027-11-27 20:00:00,2027-11-27 22:07:00,Cool Hand Luke,CRIMINE,Stuart Rosenberg,1967,127,12,10.0,0
55b2c4b8-50e4-493b-b2cb-61062cb4bd1e,2027-11-27 17:00:00,2027-11-27 19:13:00,The Blues Brothers,AZIONE,John Landis,1980,133,0,7.5,0
4137a104-0efc-4109-a3b8-843fa3c85472,2027-11-27 13:30:00,2027-11-27 16:20:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,6.5,0
8101931b-f7c4-4cef-bd8e-7882ece13da1,2027-11-27 10:30:00,2027-11-27 12:43:00,The Blues Brothers,AZIONE,John Landis,1980,133,0,8.0,0
4ad06419-87b4-415c-b678-f7e5c66b6def,2027-11-26 13:30:00,2027-11-26 15:15:00,It Happened One Night,COMMEDIA,Frank Capra,1934,105,12,8.0,0
af25f145-7b6a-4546-ae1f-e1ffce42e817,2027-11-26 10:30:00,2027-11-26 12:34:00,Sin City,CRIMINE,Frank Miller,2005,124,12,6.5,0
5ce6128c-af7e-4004-97c4-b5c07dd48721,2027-11-25 16:00:00,2027-11-25 17:58:00,The Silence of the Lambs,CRIMINE,Jonathan Demme,1991,118,12,6.5,0
35d67423-58fe-45e6-b71f-a378314cd9f9,2027-11-25 12:30:00,2027-11-25 14:53:00,Tengoku to jigoku,CRIMINE,Akira Kurosawa,1963,143,12,8.0,0
e97fdbab-d373-4a2e-97ec-a4131ef3e59b,2027-11-25 10:00:00,2027-11-25 11:45:00,It Happened One Night,COMMEDIA,Frank Capra,1934,105,12,7.0,0
93c172be-3bd3-4b51-8326-6e2645c426a6,2027-11-24 16:00:00,2027-11-24 17:31:00,The Ladykillers,COMMEDIA,Alexander Mackendrick,1955,91,12,6.5,0
7b954c17-7825-4bbc-b03d-d2298066e899,2027-11-24 13:30:00,2027-11-24 15:16:00,Cape Fear,DRAMMATICO,J. Lee Thompson,1962,106,12,7.5,0
4a585a1d-dc57-4a2d-ba36-9dfa858cfd03,2027-11-24 10:30:00,2027-11-24 12:47:00,Aliens,AZIONE,James Cameron,1986,137,0,8.0,0
ab2bd3e2-3f6c-4d8c-93a6-9524ee77c43c,2027-11-23 12:30:00,2027-11-23 14:11:00,The Others,HORROR,Alejandro Amenábar,2001,101,12,6.5,0
3a06046a-04be-406d-9336-fb089675e754,2027-11-23 10:00:00,2027-11-23 11:32:00,"Monsters, Inc.",ANIMAZIONE,Pete Docter,2001,92,0,6.5,0
53676fe5-f9ef-44c2-b0c0-a7c076d6b630,2027-11-22 10:30:00,2027-11-22 12:04:00,Jûbê ninpûchô,ANIMAZIONE,Yoshiaki Kawajiri,1993,94,12,7.5,0
1c4f2779-6d3d-4869-b555-c4e9c942cd11,2027-11-21 16:00:00,2027-11-21 18:26:00,The Hurricane,BIOGRAFICO,Norman Jewison,1999,146,16,8.0,0
0e3f10f7-eea1-4da5-92cb-0cf30af543cb,2027-11-21 13:00:00,2027-11-21 15:00:00,Platoon,DRAMMATICO,Oliver Stone,1986,120,12,8.5,0
47848b68-523f-4d27-96f8-d10380f46095,2027-11-21 10:00:00,2027-11-21 12:07:00,Cool Hand Luke,CRIMINE,Stuart Rosenberg,1967,127,12,7.0,0
9ffcb6a8-194c-4af5-9944-7a5615ffd846,2027-11-20 20:30:00,2027-11-20 22:47:00,Aliens,AZIONE,James Cameron,1986,137,0,9.0,0
66436bd7-68be-4254-8828-0fa7463b1e86,2027-11-20 18:00:00,2027-11-20 19:45:00,Jules et Jim,DRAMMATICO,François Truffaut,1962,105,12,10.0,0
54e29358-d5f5-482a-830f-890ec5f13fc5,2027-11-20 14:30:00,2027-11-20 16:48:00,Close Encounters of the Third Kind,DRAMMATICO,Steven Spielberg,1977,138,0,8.5,0
e1c2448f-3833-486a-ae82-425c825ae603,2027-11-20 10:30:00,2027-11-20 13:20:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,7.0,0
3debd2af-d453-4589-9bf6-c07540f6fa2f,2027-11-19 10:00:00,2027-11-19 12:26:00,The Hurricane,BIOGRAFICO,Norman Jewison,1999,146,16,8.5,0
bcf0f473-2c85-483e-9a41-34d48b141959,2027-11-18 10:00:00,2027-11-18 12:36:00,Scent of a Woman,DRAMMATICO,Martin Brest,1992,156,12,7.0,0
59474046-0286-44c8-8ee7-4f44e5eea989,2027-11-17 10:30:00,2027-11-17 13:51:00,Giant,DRAMMATICO,George Stevens,1956,201,0,7.5,0
00dbecf5-9e44-44af-ae76-fa1b9b1f2e92,2027-11-16 16:00:00,2027-11-16 18:26:00,The Hurricane,BIOGRAFICO,Norman Jewison,1999,146,16,7.0,0
77d743fb-a32a-44a1-b14f-a05763b5794a,2027-11-16 13:00:00,2027-11-16 14:50:00,Butch Cassidy and the Sundance Kid,BIOGRAFICO,George Roy Hill,1969,110,6,7.5,0
33c98f1e-61ae-4e2d-8571-ffffdf81c3ee,2027-11-16 10:30:00,2027-11-16 12:11:00,The Others,HORROR,Alejandro Amenábar,2001,101,12,8.0,0
5f1ba42e-7ea9-489c-9658-6f2646c8ee38,2027-11-15 17:00:00,2027-11-15 18:32:00,"Monsters, Inc.",ANIMAZIONE,Pete Docter,2001,92,0,8.0,0
c5cdb6a3-84d7-482b-8979-8aded5fb1027,2027-11-15 14:00:00,2027-11-15 15:52:00,The Long Goodbye,COMMEDIA,Robert Altman,1973,112,12,7.0,0
33931064-d09e-4ae1-a2c8-508f9dbe6433,2027-11-15 10:30:00,2027-11-15 12:49:00,Fight Club,DRAMMATICO,David Fincher,1999,139,12,8.0,0
4d6291f7-a220-4f76-b710-dd6fa3add26b,2027-11-14 15:30:00,2027-11-14 17:30:00,Platoon,DRAMMATICO,Oliver Stone,1986,120,12,7.0,0
1944891d-6dbe-44b7-997c-b945acfbb435,2027-11-14 12:30:00,2027-11-14 14:53:00,Tengoku to jigoku,CRIMINE,Akira Kurosawa,1963,143,12,7.5,0
ed7111e8-8502-484f-970e-12974532f228,2027-11-14 10:00:00,2027-11-14 11:48:00,Back to the Future Part II,AVVENTURA,Robert Zemeckis,1989,108,0,6.5,0
90c39e0a-4447-4548-b650-d14cad674ce3,2027-11-13 18:30:00,2027-11-13 20:00:00,Papurika,ANIMAZIONE,Satoshi Kon,2006,90,0,9.5,0
81d38b49-6031-4f2d-b8f5-29b287e560e2,2027-11-13 16:00:00,2027-11-13 17:48:00,Back to the Future Part II,AVVENTURA,Robert Zemeckis,1989,108,0,7.5,0
de9783d4-d21a-48f2-99a9-a161ee0a5d4e,2027-11-13 13:00:00,2027-11-13 15:00:00,Platoon,DRAMMATICO,Oliver Stone,1986,120,12,7.0,0
d882e95d-e485-434a-9a15-d5bc0d624025,2027-11-13 10:30:00,2027-11-13 12:30:00,Platoon,DRAMMATICO,Oliver Stone,1986,120,12,7.5,0
9b6903d8-9709-4c6a-a591-94d95d967b46,2027-11-12 13:30:00,2027-11-12 15:34:00,Blow,BIOGRAFICO,Ted Demme,2001,124,16,8.0,0
b50df6b0-dcd5-4403-8213-06510935b7ea,2027-11-12 10:00:00,2027-11-12 12:36:00,Scent of a Woman,DRAMMATICO,Martin Brest,1992,156,12,7.0,0
10871323-c2c0-4a83-bf1e-f4448a95001c,2027-11-11 13:00:00,2027-11-11 14:30:00,Papurika,ANIMAZIONE,Satoshi Kon,2006,90,0,8.0,0
054d43f5-8561-4721-979a-3a17ab1c08b5,2027-11-11 10:30:00,2027-11-11 12:00:00,Papurika,ANIMAZIONE,Satoshi Kon,2006,90,0,6.5,0
6ee1827b-2d82-4d1f-90a2-a877fdf061c9,2027-11-10 10:30:00,2027-11-10 12:48:00,Close Encounters of the Third Kind,DRAMMATICO,Steven Spielberg,1977,138,0,8.0,0
3c9da5ae-d87a-48b4-bd15-f6ee459ff994,2027-11-09 13:00:00,2027-11-09 14:52:00,The Long Goodbye,COMMEDIA,Robert Altman,1973,112,12,7.0,0
6eff7fe1-ee2b-40fa-98b7-cd6a3242ec46,2027-11-09 10:00:00,2027-11-09 12:04:00,Sin City,CRIMINE,Frank Miller,2005,124,12,7.0,0
77d21839-2946-4110-81bb-e858ed6e7745,2027-11-08 13:00:00,2027-11-08 15:10:00,Chinatown,DRAMMATICO,Roman Polanski,1974,130,12,7.0,0
bb16d14c-a38c-4013-82ef-82be5b5c1512,2027-11-08 10:30:00,2027-11-08 12:00:00,Papurika,ANIMAZIONE,Satoshi Kon,2006,90,0,8.5,0
639af8ed-69d0-4d2d-ac70-adb4eb115c91,2027-11-07 15:00:00,2027-11-07 15:45:00,Sherlock Jr.,AZIONE,Buster Keaton,1924,45,12,6.5,0
cc3bc16f-09fc-4e40-b1b6-31e10a4c3d97,2027-11-07 12:30:00,2027-11-07 14:03:00,Annie Hall,COMMEDIA,Woody Allen,1977,93,12,8.0,0
450407bc-4fb4-4054-9679-5e2e8ee7fe65,2027-11-07 10:00:00,2027-11-07 11:50:00,Butch Cassidy and the Sundance Kid,BIOGRAFICO,George Roy Hill,1969,110,6,7.5,0
49ded053-7273-415f-ba8a-9137fb650237,2027-11-06 19:30:00,2027-11-06 22:51:00,Giant,DRAMMATICO,George Stevens,1956,201,0,9.0,0
bf3f51de-4384-4b34-aadc-71532190ceb0,2027-11-06 16:00:00,2027-11-06 18:22:00,Idi i smotri,DRAMMATICO,Elem Klimov,1985,142,12,8.0,0
c7765082-5a9b-4182-b44c-b67e6f3134d0,2027-11-06 13:00:00,2027-11-06 15:04:00,Sin City,CRIMINE,Frank Miller,2005,124,12,6.5,0
210770f0-9858-419a-9575-2d0645007b72,2027-11-06 10:00:00,2027-11-06 12:04:00,Blow,BIOGRAFICO,Ted Demme,2001,124,16,7.5,0
440f6f3f-9f96-4d5b-8aa2-760b893dacab,2027-11-05 10:30:00,2027-11-05 12:18:00,Back to the Future Part II,AVVENTURA,Robert Zemeckis,1989,108,0,8.0,0
28182755-68a7-4a87-9a49-ed341f5124ff,2027-11-04 10:30:00,2027-11-04 12:47:00,Aliens,AZIONE,James Cameron,1986,137,0,8.0,0
a24b869f-eb2d-416b-a316-3220a3660e1f,2027-11-03 10:30:00,2027-11-03 13:06:00,Scent of a Woman,DRAMMATICO,Martin Brest,1992,156,12,7.0,0
999a0e9a-25b8-418d-b02e-4aac40856fcf,2027-11-02 13:30:00,2027-11-02 15:00:00,Papurika,ANIMAZIONE,Satoshi Kon,2006,90,0,6.5,0
dfa7322b-0b9f-4285-863c-950ec45ecce1,2027-11-02 10:30:00,2027-11-02 12:41:00,Enemy at the Gates,DRAMMATICO,Jean-Jacques Annaud,2001,131,12,7.0,0
1023cf2c-8e07-428a-a6b9-ce90f501d285,2027-11-01 13:00:00,2027-11-01 14:31:00,The Ladykillers,COMMEDIA,Alexander Mackendrick,1955,91,12,8.0,0
7fc80b6a-b08f-40b3-9ea4-4da4dfa71a5d,2027-11-01 10:30:00,2027-11-01 12:23:00,"4 luni, 3 saptamâni si 2 zile",DRAMMATICO,Cristian Mungiu,2007,113,12,8.5,0
3806023e-274b-4646-94cd-8b8a3d5fbfe5,2027-10-31 17:00:00,2027-10-31 17:45:00,Sherlock Jr.,AZIONE,Buster Keaton,1924,45,12,6.5,0
9cabcc29-d671-406f-a49d-757d3d4b60d3,2027-10-31 14:00:00,2027-10-31 15:48:00,Back to the Future Part II,AVVENTURA,Robert Zemeckis,1989,108,0,6.5,0
3d3de3c1-de55-453e-95f8-071450c4f3ad,2027-10-31 10:30:00,2027-10-31 13:06:00,Scent of a Woman,DRAMMATICO,Martin Brest,1992,156,12,6.5,0
47914611-2068-44b6-a89f-e6a3eeedaa31,2027-10-30 17:00:00,2027-10-30 18:32:00,"Monsters, Inc.",ANIMAZIONE,Pete Docter,2001,92,0,8.0,0
97cc9ad0-aa3e-49b6-83df-62f220de2ea7,2027-10-30 14:00:00,2027-10-30 16:04:00,Blow,BIOGRAFICO,Ted Demme,2001,124,16,8.5,0
9627f3b6-7544-4b78-b221-1e41cea581fb,2027-10-30 10:30:00,2027-10-30 13:20:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,7.5,0
f6af3208-5862-40ba-9ff2-bbb9c249e1da,2027-10-29 10:30:00,2027-10-29 12:03:00,Annie Hall,COMMEDIA,Woody Allen,1977,93,12,7.5,0
3dd6dfa0-e10e-44ea-ab87-1c43e12cdcad,2027-10-28 15:00:00,2027-10-28 17:23:00,Tengoku to jigoku,CRIMINE,Akira Kurosawa,1963,143,12,7.5,0
5cb2b073-ac85-479f-834a-16c8ac841fc4,2027-10-28 12:30:00,2027-10-28 14:05:00,Ivanovo detstvo,DRAMMATICO,Andrei Tarkovsky,1962,95,12,7.5,0
